Tanggal,Kecamatan,total_pasien,Lat,Long,cluster
2024-01,Padaherang,578,-7.549917432,108.4216188,0
2024-01,Pangandaran,1105,-7.683333,108.7526647,1
2024-01,Cimerak,544,-7.75108096,108.4391362,0
2024-01,Sidamulih,556,-7.642151948,108.6062757,0
2024-01,Parigi,862,-7.641850648,108.5109654,3
2024-01,Mangunjaya,230,-7.486361775,108.694796,2
2024-01,Cijulang,343,-7.727417462,108.4725217,2
2024-01,Cigugur,253,-7.683333,108.65,2
2024-01,Langkap Lancar,299,-7.486361775,108.694796,2
2024-01,Kalipucang,733,-7.646028349,108.6953381,3
2023-02,Sidamulih,556,-7.642151948,108.6062757,0
2023-02,Kalipucang,733,-7.646028349,108.6953381,3
2023-02,Cijulang,343,-7.727417462,108.4725217,2
2023-02,Parigi,862,-7.641850648,108.5109654,3
2023-02,Cimerak,544,-7.75108096,108.4391362,0
2023-02,Mangunjaya,230,-7.486361775,108.694796,2
2023-02,Pangandaran,1105,-7.683333,108.7526647,1
2023-02,Padaherang,578,-7.549917432,108.4216188,0
2023-02,Cigugur,253,-7.683333,108.65,2
2023-02,Langkap Lancar,299,-7.486361775,108.694796,2
2024-03,Parigi,862,-7.641850648,108.5109654,3
2024-03,Kalipucang,733,-7.646028349,108.6953381,3
2024-03,Pangandaran,1105,-7.683333,108.7526647,1
2024-03,Sidamulih,556,-7.642151948,108.6062757,0
2024-03,Cigugur,253,-7.683333,108.65,2
2024-03,Cijulang,343,-7.727417462,108.4725217,2
2024-03,Cimerak,544,-7.75108096,108.4391362,0
2024-03,Padaherang,578,-7.549917432,108.4216188,0
2024-03,Mangunjaya,230,-7.486361775,108.694796,2
2024-03,Langkap Lancar,299,-7.486361775,108.694796,2
2023-04,Pangandaran,1105,-7.683333,108.7526647,1
2023-04,Padaherang,578,-7.549917432,108.4216188,0
2023-04,Parigi,862,-7.641850648,108.5109654,3
2023-04,Langkap Lancar,299,-7.486361775,108.694796,2
2023-04,Mangunjaya,230,-7.486361775,108.694796,2
2023-04,Sidamulih,556,-7.642151948,108.6062757,0
2023-04,Kalipucang,733,-7.646028349,108.6953381,3
2023-04,Cimerak,544,-7.75108096,108.4391362,0
2023-04,Cijulang,343,-7.727417462,108.4725217,2
2023-04,Cigugur,253,-7.683333,108.65,2
2023-05,Mangunjaya,230,-7.486361775,108.694796,2
2023-05,Cigugur,253,-7.683333,108.65,2
2023-05,Cimerak,544,-7.75108096,108.4391362,0
