Tanggal,Unit Layanan Medis,Diagnosis Primer,Code,Kecamatan,total_pasien,block_code,cluster,jumlah_pasien_wilayah_scaled_scaled,Lat,Long
2024-01,Mata,"Chorioretinal inflammation, unspecified",H30.9,Padaherang,578,Disorders of choroid and retina,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,"Chorioretinal inflammation, unspecified",H30.9,Pangandaran,1105,Disorders of choroid and retina,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Senile cataract,H25,Cimerak,544,Disorders of lens,0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,Corneal ulcer,H16.0,Sidamulih,556,"Disorders of sclera, cornea, iris and ciliary body",0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Senile cataract,H25,Parigi,862,Disorders of lens,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Conjunctivitis,H10,Parigi,862,Disorders of conjunctiva,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Senile cataract,H25,Pangandaran,1105,Disorders of lens,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Senile cataract,H25,Mangunjaya,230,Disorders of lens,2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Corneal ulcer,H16.0,Parigi,862,"Disorders of sclera, cornea, iris and ciliary body",3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Presence of intraocular lens,Z96.1,Parigi,862,Presence of other functional implants,3,0.636650922,-7.641850648,108.5109654
2024-01,Mata,Primary open-angle glaucoma,H40.1,Mangunjaya,230,Glaucoma,2,-1.624789478,-7.486361775,108.694796
2024-01,Mata,Pterygium,H11.0,Padaherang,578,Disorders of conjunctiva,0,-0.379565967,-7.549917432,108.4216188
2024-01,Mata,Pterygium,H11.0,Cijulang,343,Disorders of conjunctiva,2,-1.22044966,-7.727417462,108.4725217
2024-01,Mata,Chalazion,H00.1,Pangandaran,1105,"Disorders of eyelid, lacrimal system and orbit",1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Presence of intraocular lens,Z96.1,Cigugur,253,Presence of other functional implants,2,-1.542490223,-7.683333,108.65
2024-01,Mata,Senile cataract,H25,Langkaplancar,299,Disorders of lens,2,-1.377891713,-7.486361775,108.694796
2024-01,Mata,Presence of intraocular lens,Z96.1,Kalipucang,733,Presence of other functional implants,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Conjunctivitis,H10,Kalipucang,733,Disorders of conjunctiva,3,0.175059448,-7.646028349,108.6953381
2024-01,Mata,Aphakia,H27.0,Cimerak,544,Disorders of lens,0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,Pterygium,H11.0,Cimerak,544,Disorders of conjunctiva,0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,Presence of intraocular lens,Z96.1,Pangandaran,1105,Presence of other functional implants,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Senile cataract,H25,Sidamulih,556,Disorders of lens,0,-0.458286993,-7.642151948,108.6062757
2024-01,Mata,Chalazion,H00.1,Langkaplancar,299,"Disorders of eyelid, lacrimal system and orbit",2,-1.377891713,-7.486361775,108.694796
2024-01,Mata,"Papilloedema, unspecified",H47.1,Pangandaran,1105,Disorders of optic nerve and visual pathways,1,1.506160443,-7.683333,108.7526647
2024-01,Mata,Conjunctival haemorrhage,H11.3,Cimerak,544,Disorders of conjunctiva,0,-0.501225735,-7.75108096,108.4391362
2024-01,Mata,Aphakia,H27.0,Padaherang,578,Disorders of lens,0,-0.379565967,-7.549917432,108.4216188
